Voter,Vote
Michael Thomas,Masako Holley
Jeri Cowley,Genevieve Gallegos
Alexander Moose,Genevieve Gallegos
Linda Abraham,Masako Holley
Alfred Blocker,Genevieve Gallegos
Leona Hill,Masako Holley
Brittany Silva,Masako Holley
Lawrence Knight,Masako Holley
Michael White,Genevieve Gallegos
Annette Ealy,Masako Holley
Shirley Dixon,Masako Holley
Warren Berumen,Genevieve Gallegos
Jamie Burns,Genevieve Gallegos
Evelyn Mulinix,Masako Holley
Esteban Tipton,Genevieve Gallegos
Gina Ozuna,Masako Holley
Dewayne Frey,Genevieve Gallegos
Mary Johnson,Masako Holley
Jacob Steeley,Genevieve Gallegos
Alexandra Vuong,Masako Holley
Edgar Kennedy,Masako Holley
Coy Mcnamee,Masako Holley
Alice Lee,Masako Holley
Bernard Chevrette,Masako Holley
Jaime Wynn,Genevieve Gallegos
Oliver Reyes,Pearle Goodman
John Salas,Genevieve Gallegos
Steven Peterson,Genevieve Gallegos
Ida Johnson,Masako Holley
Elijah Arnold,Genevieve Gallegos
Laura Nunez,Masako Holley
David Stjohn,Pearle Goodman
Michael Patton,Masako Holley
Nancy Love,Masako Holley
Brenda Maher,Masako Holley
Willie Ray,Masako Holley
Daphne Vanzee,Masako Holley
Michael Porter,Pearle Goodman
William Jones,Genevieve Gallegos
Jimmy Hicks,Genevieve Gallegos
Manuel Myers,Genevieve Gallegos
Carole Nielson,Genevieve Gallegos
Robert Shiroma,Genevieve Gallegos
Robert Flint,Masako Holley
Jeannie Costley,Masako Holley
Craig Stevens,Genevieve Gallegos
Lisa Hammer,Masako Holley
Elliot Chapman,Pearle Goodman
Phillip Stamper,Genevieve Gallegos
Sally White,Genevieve Gallegos
