Voter,Gender,Age,Shares
Jessica Perez,female,65+,1
Robert Wiltse,male,36-45,1
Ellen Delrio,female,65+,1
Betty Lewis,female,56-65,1
Armando Dawson,male,56-65,2
Gloria Lowe,female,56-65,1
Sarah Ybarra,female,36-45,6
Roger Taylor,male,46-55,1
Virgina Clark,female,46-55,1
Gwendolyn Catchings,female,36-45,1
Yvonne Sumler,female,36-45,1
Ricky Applewhite,male,56-65,1
Rufus Harrison,male,46-55,1
Betty Sumner,female,36-45,1
Emmitt Engelking,male,36-45,1
Dawn Larson,female,56-65,1
Michael Curry,male,46-55,4
Sarah Wiebe,female,46-55,3
Amanda Robinson,female,46-55,2
Frances Reyes,female,36-45,1
Elmer Jones,male,56-65,1
Rebecca Thomas,female,46-55,1
Nancy Edwards,female,56-65,1
Robert Dowdell,male,36-45,1
Jackie Finnie,female,56-65,1
Josephine Crawford,female,65+,1
Dale Cardella,male,46-55,1
Daniel Tatum,male,46-55,2
Mattie Rutski,female,65+,2
Kenneth King,male,46-55,1
Alice Coleman,female,46-55,1
Daniel Alton,male,46-55,1
David Roth,male,46-55,2
Derrick Blackmer,male,46-55,1
Chester Breen,male,65+,3
Sally White,female,65+,2
David Tipps,male,36-45,1
Robert Dison,male,46-55,6
Aaron Long,male,46-55,1
Naomi Delacruz,female,36-45,1
Barbara Kovach,female,56-65,1
Stacy Dials,female,65+,1
John Welch,male,56-65,8
John Mcpherson,male,18-25,6
Vickie Pitts,female,46-55,1
Gerardo Witt,male,36-45,2
Joanne Rhyne,female,46-55,2
Darrell Vadnais,male,46-55,1
William Penn,male,46-55,1
Nicolas Shumate,male,36-45,1
Manuel Dente,male,65+,1
Delilah Zielinski,female,26-35,1
Jimmy Stewart,male,56-65,1
Tina Martin,female,46-55,1
Esther Carter,female,46-55,1
Crystal Thrasher,female,56-65,1
Jill Godbee,female,65+,1
Nancy Vargas,female,56-65,1
Latasha Martin,female,46-55,1
Jo Cook,female,46-55,1
Stephen Lockard,male,36-45,3
Virgie Jones,female,56-65,1
Lucille Ollis,female,46-55,1
Donna Anderson,female,56-65,1
Wanda Fothergill,female,56-65,1
Regina Smith,female,46-55,1
Kenneth Heilig,male,36-45,2
Brad Luhnow,male,46-55,6
Gerald Pocius,male,36-45,1
Trisha Baker,female,56-65,1
Curt Blankenship,male,56-65,1
James Doctor,male,46-55,4
Colleen Barfield,female,65+,1
Randy Flores,male,56-65,1
Allen Kelly,male,46-55,1
Jody Jude,male,56-65,5
Jermaine Mutter,male,46-55,1
Thomas Badger,male,46-55,1
Beth King,female,46-55,1
Felix Davis,male,56-65,1
Christopher Curtis,male,46-55,1
Lawrence Grothe,male,36-45,1
Marilou Isaacs,female,65+,1
Shawn Sykes,male,46-55,1
Terrance James,male,56-65,1
Mark Perez,male,56-65,1
Steven Tyler,male,46-55,2
Jorge Brown,male,46-55,1
William Newcomb,male,65+,1
Hank Baker,male,65+,1
Ricky Oeltjen,male,36-45,1
Casey Tiffany,male,36-45,1
Christian Gilbert,male,46-55,1
Willie Langley,male,46-55,1
Sam Blasko,male,36-45,1
Michael Crabtree,male,36-45,1
Steven Fries,male,46-55,5
David Presley,male,36-45,1
Tama Garcia,female,36-45,1
Laura Ellis,female,46-55,1
Robert Burnette,male,56-65,1
Taylor Clymer,male,36-45,1
Jessica Thompson,female,36-45,2
Jeromy Dykes,male,56-65,4
Richard King,male,56-65,1
Mollie Williams,female,18-25,1
Joanna Foster,female,56-65,1
Thomas Ferrer,male,36-45,1
Angelina Wofford,female,46-55,1
Andrew Malone,male,46-55,1
Margaret Chance,female,46-55,1
Ralph Niles,male,36-45,1
Roger Kroll,male,26-35,1
Adele Licursi,female,46-55,1
Latisha Hadley,female,65+,4
Mary Portis,female,65+,1
Frances Lucas,female,36-45,1
Virgie Kilpatrick,female,56-65,1
Kevin Burton,male,36-45,3
Annie Margolis,female,36-45,2
Demetria Thomas,female,46-55,1
Mark Mauney,male,46-55,1
Julian Colyer,male,46-55,4
Phyllis Waters,female,65+,3
Juan Jones,male,56-65,1
Hector Hatch,male,46-55,3
Jennifer Maynard,female,65+,1
Amanda Yannone,female,56-65,1
Blair Ungar,male,65+,1
Dolores Porter,female,46-55,2
Mary Deckman,female,65+,2
Christine Esposito,female,56-65,1
Peter Arnold,male,46-55,1
Verna Barton,female,46-55,1
William Himmel,male,65+,1
Ricky Guzman,male,56-65,1
Crystal Roberts,female,56-65,3
Sally Martin,female,56-65,2
