Voter,Gender,Age,County
Jessica Perez,female,56-65,Mountain Farm
Robert Wiltse,male,46-55,Mountain Farm
Ellen Delrio,female,56-65,Mountain Farm
Betty Lewis,female,36-45,Mountain Farm
Armando Dawson,male,65+,Mountain Farm
Gloria Lowe,female,36-45,Mountain Farm
Sarah Ybarra,female,56-65,Mountain Farm
Roger Taylor,male,46-55,Mountain Farm
Virgina Clark,female,56-65,Mountain Farm
Gwendolyn Catchings,female,65+,Mountain Farm
Yvonne Sumler,female,56-65,Mountain Farm
Ricky Applewhite,male,56-65,Mountain Farm
Rufus Harrison,male,46-55,Mountain Farm
Betty Sumner,female,46-55,Mountain Farm
Emmitt Engelking,male,65+,Mountain Farm
Dawn Larson,female,46-55,Mountain Farm
Michael Curry,male,46-55,Riverside
Sarah Wiebe,female,26-35,Riverside
Amanda Robinson,female,46-55,Mountain Farm
Frances Reyes,female,36-45,Bailey
Elmer Jones,male,36-45,Mountain Farm
Rebecca Thomas,female,36-45,Mountain Farm
Nancy Edwards,female,46-55,Mountain Farm
Robert Dowdell,male,46-55,Mountain Farm
Jackie Finnie,female,36-45,Mountain Farm
Josephine Crawford,female,46-55,Black
Dale Cardella,male,65+,Mountain Farm
Daniel Tatum,male,36-45,Mountain Farm
Mattie Rutski,female,56-65,Mountain Farm
Kenneth King,male,56-65,Riverside
Alice Coleman,female,65+,Black
Daniel Alton,male,46-55,Mountain Farm
David Roth,male,36-45,Mountain Farm
Derrick Blackmer,male,65+,Mountain Farm
Chester Breen,male,46-55,Mountain Farm
Sally White,female,56-65,Mountain Farm
David Tipps,male,56-65,Mountain Farm
Robert Dison,male,46-55,Mountain Farm
Aaron Long,male,56-65,Riverside
Naomi Delacruz,female,46-55,Mountain Farm
Barbara Kovach,female,56-65,Mountain Farm
Stacy Dials,female,36-45,Mountain Farm
John Welch,male,36-45,Black
John Mcpherson,male,65+,Mountain Farm
Vickie Pitts,female,46-55,Mountain Farm
Gerardo Witt,male,36-45,Mountain Farm
Joanne Rhyne,female,36-45,Mountain Farm
Darrell Vadnais,male,26-35,Mountain Farm
William Penn,male,46-55,Mountain Farm
Nicolas Shumate,male,46-55,Mountain Farm
Manuel Dente,male,46-55,Riverside
Delilah Zielinski,female,65+,Bailey
Jimmy Stewart,male,46-55,Mountain Farm
Tina Martin,female,36-45,Mountain Farm
Esther Carter,female,36-45,Mountain Farm
Crystal Thrasher,female,46-55,Mountain Farm
Jill Godbee,female,46-55,Mountain Farm
Nancy Vargas,female,65+,Mountain Farm
Latasha Martin,female,46-55,Mountain Farm
Jo Cook,female,56-65,Mountain Farm
Stephen Lockard,male,65+,Mountain Farm
Virgie Jones,female,46-55,Mountain Farm
Lucille Ollis,female,36-45,Mountain Farm
Donna Anderson,female,46-55,Black
Wanda Fothergill,female,46-55,Mountain Farm
Regina Smith,female,36-45,Mountain Farm
Kenneth Heilig,male,26-35,Mountain Farm
Brad Luhnow,male,65+,Mountain Farm
Gerald Pocius,male,65+,Mountain Farm
Trisha Baker,female,46-55,Riverside
Curt Blankenship,male,46-55,Mountain Farm
James Doctor,male,46-55,Black
Colleen Barfield,female,56-65,Mountain Farm
Randy Flores,male,46-55,Mountain Farm
Allen Kelly,male,46-55,Mountain Farm
Jody Jude,male,46-55,Mountain Farm
Jermaine Mutter,male,46-55,Riverside
Thomas Badger,male,26-35,Mountain Farm
Beth King,female,65+,Mountain Farm
Felix Davis,male,36-45,Mountain Farm
Christopher Curtis,male,46-55,Mountain Farm
Lawrence Grothe,male,36-45,Mountain Farm
Marilou Isaacs,female,36-45,Mountain Farm
Shawn Sykes,male,46-55,Riverside
Terrance James,male,65+,Mountain Farm
Mark Perez,male,65+,Mountain Farm
Steven Tyler,male,36-45,Mountain Farm
Jorge Brown,male,65+,Mountain Farm
William Newcomb,male,46-55,Mountain Farm
Hank Baker,male,26-35,Black
Ricky Oeltjen,male,46-55,Mountain Farm
Casey Tiffany,male,56-65,Mountain Farm
Christian Gilbert,male,46-55,Mountain Farm
Willie Langley,male,46-55,Mountain Farm
Sam Blasko,male,56-65,Black
Michael Crabtree,male,46-55,Mountain Farm
Steven Fries,male,46-55,Mountain Farm
David Presley,male,46-55,Mountain Farm
Tama Garcia,female,56-65,Riverside
Laura Ellis,female,46-55,Riverside
Robert Burnette,male,65+,Mountain Farm
Taylor Clymer,male,56-65,Mountain Farm
Jessica Thompson,female,46-55,Mountain Farm
Jeromy Dykes,male,46-55,Riverside
Richard King,male,36-45,Mountain Farm
Mollie Williams,female,36-45,Mountain Farm
Joanna Foster,female,46-55,Riverside
Thomas Ferrer,male,46-55,Mountain Farm
Angelina Wofford,female,46-55,Mountain Farm
Andrew Malone,male,36-45,Mountain Farm
Margaret Chance,female,65+,Mountain Farm
Ralph Niles,male,56-65,Mountain Farm
Roger Kroll,male,46-55,Mountain Farm
Adele Licursi,female,56-65,Mountain Farm
Latisha Hadley,female,36-45,Mountain Farm
Mary Portis,female,65+,Mountain Farm
Frances Lucas,female,36-45,Bailey
Virgie Kilpatrick,female,36-45,Mountain Farm
Kevin Burton,male,65+,Mountain Farm
Annie Margolis,female,46-55,Mountain Farm
Demetria Thomas,female,46-55,Mountain Farm
Mark Mauney,male,36-45,Mountain Farm
Julian Colyer,male,46-55,Mountain Farm
Phyllis Waters,female,46-55,Mountain Farm
Juan Jones,male,56-65,Mountain Farm
Hector Hatch,male,46-55,Mountain Farm
Jennifer Maynard,female,46-55,Mountain Farm
Amanda Yannone,female,46-55,Black
Blair Ungar,male,46-55,Riverside
Dolores Porter,female,46-55,Mountain Farm
Mary Deckman,female,46-55,Riverside
Christine Esposito,female,65+,Mountain Farm
Peter Arnold,male,46-55,Black
Verna Barton,female,46-55,Mountain Farm
William Himmel,male,46-55,Mountain Farm
Ricky Guzman,male,65+,Riverside
Crystal Roberts,female,36-45,Mountain Farm
Sally Martin,female,56-65,Mountain Farm
Jana Higgins,female,46-55,Mountain Farm
Gregory Travis,male,56-65,Black
Greg Williams,male,56-65,Bailey
Nancy Holt,female,46-55,Mountain Farm
Tara Long,female,56-65,Riverside
Bridget Young,female,36-45,Mountain Farm
Jeff Scroggins,male,46-55,Mountain Farm
